Id,Expected
5beb48f0be11d0309d1dff09b8405734_0,
5beb48f0be11d0309d1dff09b8405734_1,809886 25 811166 25 812439 35 813714 42 814994 42 816269 47 817549 47 818816 60 818916 33 820096 60 820196 33 821366 70 821474 45 822646 70 822754 45 823921 78 824034 50 825201 78 825314 50 826479 85 826594 55 827759 85 827874 55 829036 90 829154 57 830316 90 830434 57 831594 95 831714 60 832874 95 832994 60 834154 95 834274 62 835434 95 835554 62 836714 97 836834 65 837994 97 838114 65 839274 97 839394 67 840554 100 840676 68 841834 100 841956 68 843114 100 843236 68 844394 100 844516 68 845674 102 845796 18 845819 47 846954 102 847076 18 847099 47 848234 102 848359 10 848384 42 849514 102 849639 10 849664 42 850794 105 850919 5 850946 40 852074 105 852199 5 852226 40 853354 105 853511 33 854634 105 854791 33 855914 110 857194 110 858474 110 859754 110 861031 108 862311 108 863591 105 864871 105 866151 105 867429 105 868709 105 869989 105 871269 105 872549 102 873829 102 875106 105 876386 105 877666 103 878946 103 880226 100 881506 100 882786 98 884066 98 885346 95 886626 95 887906 93 889186 93 890466 90 891746 88 893026 88 894306 88 895586 88 896866 85 898146 85 899426 85 900706 85 901986 85 902149 25 903266 85 903429 25 904546 88 904704 35 905826 88 905984 35 907106 88 907259 42 908386 88 908539 42 909666 88 909814 50 910946 88 911094 50 912226 88 912369 57 913506 88 913649 57 914786 88 914926 60 916066 88 916206 60 917346 85 917484 62 918624 90 918761 68 919904 90 920041 68 921184 90 921321 68 922464 90 922601 68 923744 90 923881 68 925024 90 925161 68 926301 93 926439 70 927581 93 927719 70 928861 95 928999 67 930141 95 930279 67 931419 97 931559 67 932699 97 932839 67 933979 97 934116 70 935259 97 935396 70 936539 97 936676 70 937819 97 937956 70 939099 97 939234 70 940379 97 940514 70 941659 95 941791 73 942939 95 943071 73 944219 95 944349 75 945499 95 945629 72 946779 95 946909 72 948059 95 948189 72 949339 95 949469 72 950619 95 950751 70 951899 95 952031 70 953179 92 953314 65 954459 92 954594 65 955739 92 955876 63 957019 92 957156 63 958301 90 958441 55 959581 90 959721 55 960861 88 961004 50 962141 88 962284 50 963424 85 963566 45 964704 85 964846 45 965986 78 966134 35 967266 78 967414 35 968546 55 968609 7 968701 25 969826 55 969889 7 969981 25 971106 50 971264 20 972389 42 972546 15 973669 42 973826 15 974951 35 975109 10 976231 35 976389 10 977529 12 978809 12 1017164 5 1018444 5 1019724 2 1021004 2
e7998934d417cb2eb1ef57af2ed9fbb6_0,335933 55 337213 55 338483 73 339763 73 341036 87 342316 87 343588 103 344868 103 346141 115 347421 115 348696 125 349968 138 351248 138 352523 150 353803 150 355078 163 356358 163 357633 173 358913 173 360188 183 361468 183 362743 190 364023 190 365296 200 366576 200 367848 210 369121 220 370401 220 371676 227 372956 227 374231 235 375511 235 376788 240 378068 240 379346 245 380626 245 381903 250 383183 250 384458 258 385738 258 387016 262 388293 268 389573 268 390848 273 392128 273 393406 275 394686 275 395963 278 397243 278 398521 280 399801 280 401078 283 402358 283 403638 280 404918 280 406196 282 407476 282 408756 282 410036 282 411316 282 412596 282 413876 282 415156 280 416436 280 417716 280 418996 280 420276 280 421556 280 422836 277 424116 277 425396 277 426676 275 427956 275 429236 275 430516 275 431796 275 433076 275 434356 272 435636 272 436916 272 438196 272 439476 272 440756 272 442036 270 443316 270 444596 270 445876 270 447156 270 448436 270 449716 270 450996 267 452276 267 453556 267 454836 267 456116 267 457396 267 458676 267 459956 267 461236 267 462516 265 463796 265 465076 265 466356 265 467636 265 468916 265 470196 265 471476 265 472756 265 474036 265 475316 265 476596 265 477876 265 479156 265 480436 265 481716 262 482996 262 484276 262 485556 262 486836 262 488116 262 489396 262 490676 262 491956 262 493236 262 494516 262 495796 262 497076 262 498356 262 499636 262 500916 262 502196 262 503476 262 504756 262 506036 262 507316 262 508596 262 509876 262 511158 258 512438 258 513718 255 514998 255 516281 250 517561 250 518841 247 520123 243 521403 243 522686 237 523966 237 525248 233 526528 233 527811 230 529091 230 530373 225 531653 225 532938 220 534218 220 535501 217 536781 217 538063 213 539346 210 540626 210 541906 207 543186 207 544468 203 545748 203 547028 198 548308 198 549591 190 550871 190 552151 185 553431 185 554713 180 555993 180 557273 178 558556 175 559836 175 561116 172 562396 172 563678 168 564958 168 566238 165 567518 165 568801 160 570081 160 571361 160 572641 160 573923 155 575203 155 576483 153 577766 147 579046 147 580328 143 581608 143 582891 137 584171 137 585453 133 586733 133 588018 123 589298 123 590581 115 591861 115 593146 105 594426 105 595708 100 596993 90 598273 90 599561 77 600841 77 602123 70 603403 70 604688 53 605968 53 607253 28 608533 28
e7998934d417cb2eb1ef57af2ed9fbb6_1,
88e16d4ca6160127cd1d5ff99c267599_0,647329 10 648609 10 649886 13 651166 13 652446 15 653726 15 655006 13 656286 13 657566 10 658846 10 694714 5 695994 5 697274 5 698554 5 699834 5 701114 5 702394 2 703674 2 712606 3 713886 3 715151 20 716431 20 717709 25 718989 25 720266 28 721546 28 722824 30 724104 30 725381 33 726661 33 727941 33 729224 32 730504 32 731784 35 733064 35 734344 37 735624 37 736906 35 736964 7 738186 35 738244 7 739466 38 739521 10 740746 38 740801 10 742026 38 742079 15 743306 38 743359 15 744554 10 744586 40 744639 15 745834 10 745866 40 745919 15 747111 13 747146 40 747196 20 748391 13 748426 40 748476 20 749669 12 749709 67 750949 12 750989 67 752229 7 752269 67 753509 7 753549 67 754786 5 754829 67 754924 5 756066 5 756109 67 756204 5 757391 65 757479 10 758671 65 758759 10 759954 62 760036 15 761234 62 761316 15 762521 55 762591 20 763801 55 763871 20 765086 50 765146 25 766366 50 766426 25 767649 82 768929 82 770209 82 771489 82 771591 8 772769 82 772871 8 774049 82 774149 10 775329 82 775429 10 776609 85 776709 12 777889 85 777989 12 779166 88 779271 10 780446 88 780551 10 781724 92 781831 10 783004 92 783111 10 784281 95 784394 7 785561 95 785674 7 786836 100 786954 7 788116 100 788234 7 789396 103 789516 3 790676 103 790796 3 791956 100 793236 100 794516 100 795796 100 797076 50 797131 45 797194 5 798356 50 798411 45 798474 5 799636 50 799691 43 799751 10 800916 50 800971 43 801031 10 802196 53 802251 43 802309 15 803476 53 803531 43 803589 15 804756 98 804866 18 806036 98 806146 18 807316 100 807424 22 808596 100 808704 22 809876 100 809981 25 811156 100 811261 25 812436 98 812541 25 813716 30 813769 45 813821 25 814996 30 815049 45 815101 25 816279 22 816329 45 816384 22 817559 22 817609 45 817664 22 818839 20 818891 43 818944 22 820119 20 820171 43 820224 22 821399 17 821454 40 821504 22 822679 17 822734 40 822784 22 823959 17 824014 40 824064 22 825239 17 825294 40 825344 22 826519 15 826576 40 826626 20 827799 15 827856 40 827906 20 829084 7 829139 40 829189 17 830364 7 830419 40 830469 17 831701 40 831751 15 832981 40 833031 15 834264 37 834314 10 835544 37 835594 10 836826 38 836876 5 838106 38 838156 5 839306 5 839389 35 840586 5 840669 35 841864 10 841951 30 843144 10 843231 30 844424 12 844514 25 845704 12 845794 25 846986 10 847076 15 848266 10 848356 15 849546 13 849641 8 850826 13 850921 8 852109 12 853389 12 854671 13 855951 13 857231 18 858514 17 859794 17 861076 18 862356 18 863639 17 864919 17 866201 18 867481 18 868764 15 870044 15 871331 10 872611 10 891956 15 893236 15 894514 17 895794 17 897074 17 898354 17 899634 17 900821 10 900879 2 900914 15 902101 10 902159 2 902194 15 903384 60 903476 13 904664 60 904756 13 905946 58 906039 7 907226 58 907319 7 908511 55 909791 55 911081 43 912361 43 913651 30 914931 30
88e16d4ca6160127cd1d5ff99c267599_1,533414 5 534694 5 535971 13 537251 13 538529 17 539809 17 541086 23 542366 23 543644 27 544924 27 546201 30 547481 30 548761 30 550039 32 551319 32 552596 35 553876 35 555156 35 556436 35 557714 37 558994 37 560271 40 561551 40 562831 40 564111 40 565389 42 566669 42 567946 45 569226 45 570506 45 571786 45 573064 45 574344 45 575624 42 576904 42 578181 43 579461 43 580741 43 582021 43 583299 45 584579 45 585859 42 587139 42 588416 45 589696 45 590976 43 592256 43 593536 40 594814 42 596094 42 597374 40 598654 40 599931 43 601211 43 602491 45 603771 45 605051 45 606331 45 607611 45 608891 45 610169 47 611449 47 612729 45 614009 45 615289 40 616569 40 617849 37 619129 37 620409 32 621689 32 622966 33 624246 33 625526 30 626806 30 628086 28 629366 28 630646 25 631926 25 633209 22 634489 22 635769 20 637049 17 638329 17 639609 17 640889 17 642171 13 643451 13 644731 13 646011 13 647291 13 648571 13 649854 10 651134 10 652414 10 653694 10 654974 10 656254 10 657536 8 658816 8 660096 8 661376 8 662656 8 663936 8 665216 5 666496 5 667776 5 669056 5 670336 5 671616 5 672896 3 674176 3 675456 3 676736 3 749681 3 750961 3 752236 8 753516 8 754791 10 756071 10 757346 15 758626 15 759904 15 761184 15 762464 12 763744 12 765024 12 766304 12 767581 15 768861 15 770141 15 771421 15 772701 15 773979 15 775259 15 776539 15 777819 15 779099 12 780379 12 781659 12 782939 12 784219 10 785499 10 786779 10 788059 10 789339 10 790619 10 791901 8 793181 8 794461 5 795741 5 797021 5 797126 5 798301 5 798406 5 799581 3 799686 5 800861 3 800966 5 802249 2 803529 2 813746 23 815026 23 816301 28 817581 28 818859 32 820139 32 821416 38 822696 38 823976 38 825256 38 826534 42 827814 42 829079 5 829091 48 830359 5 830371 48 831636 65 832916 65 834194 70 835474 70 836749 77 838029 77 839311 78 840591 78 841874 77 843154 77 844436 78 845716 78 846996 80 848276 80 849559 82 850839 82 852121 88 853401 88 854684 85 855964 85 857249 82 858531 83 859811 83 861094 82 862374 82 863656 83 864936 83 866219 80 867499 80 868779 80 870059 80 871341 78 872621 78 873909 70 875189 70 876471 68 877751 68 879034 65 880314 65 881596 65 882876 65 884161 63 885441 63 886724 62 888004 62 889286 63 890566 63 891849 65 893129 65 894411 65 895691 65 896974 65 898254 65 899539 60 900831 48 902111 48
d6bf62f215f0da4ad3a7ab8df9da7386_0,2973 13 2998 3 4253 13 4278 3 5528 40 6808 40 8088 40 9368 40 10653 33 11933 33 18293 10 19573 10 20851 15 22128 20 23408 20 24688 23 25968 23 27246 27 28526 27 29806 27 31086 27 32366 30 33646 30 34926 30 36206 30 37488 30 38768 30 40048 30 41328 30 42606 35 42688 18 43886 35 43968 18 45166 37 45246 30 46446 37 46526 30 47726 42 47801 42 49006 42 49081 42 50286 47 50356 57 51566 47 51636 57 52846 52 52908 70 54126 52 54188 70 55406 137 56686 137 57968 138 59248 138 60528 140 61808 140 63091 2 63101 130 64371 2 64381 130 65661 132 66941 132 68221 132 69501 132 70781 132 72063 130 73343 130 74623 130 75903 130 77183 130 78463 130 79743 130 81023 130 82303 128 83583 128 84866 125 86146 125 87426 122 88706 122 89986 120 91266 120 92546 120 93826 120 95106 117 96386 117 97666 115 98946 115 100226 115 101506 115 102783 115 104063 115 105343 115 106623 115 107903 113 109183 113 110463 110 111743 108 113023 108 114303 105 115583 105 116866 102 118146 102 119426 102 120706 102 121986 102 123266 102 124546 102 125826 102 127106 102 128386 102 129663 108 130943 108 132218 113 133498 113 134766 125 136046 125 137321 127 138601 127 139876 132 141156 132 142426 140 143706 140 144971 155 146251 155 147526 162 148806 162 150078 170 151358 170 152633 178 153911 185 154098 8 155191 185 155378 8 156468 200 157748 200 159026 202 160306 202 161583 208 162863 208 164141 210 165421 210 166698 213 167978 213 169256 215 170536 215 171813 220 173093 220 174373 220 175653 220 176931 225 178211 225 179491 225 180771 225 182048 230 183328 230 184608 233 185888 233 187168 235 188448 235 189728 235 191008 235 192286 240 193566 240 194846 240 196126 240 197406 242 198686 242 199966 242 201243 245 202523 245 203803 245 205083 245 206363 245 207643 245 208923 245 210203 245 211483 245 212763 245 214043 245 215323 245 216603 243 217883 243 219163 243 220443 243 221726 240 223006 240 224286 237 225566 237 226846 235 228126 235 229406 235 230686 235 231966 232 233246 232 234523 235 235803 235 237083 235 238363 235 239643 235 240923 235 242203 238 243481 240 244761 240 246041 240 247321 240 248598 245 249878 245 251156 247 252436 247 253716 250 254996 250 256273 253 257553 253 258833 255 260113 255 261393 280 262673 280 263951 287 265231 287 266511 290 267791 290 269071 290 270351 290 271631 290 272911 290 274191 287 275471 287 276748 290 278028 290 279311 285 280591 285 281871 282 283151 282 284431 280 285711 277 286991 277 288271 275 289551 275 290833 268 292113 268 293393 265 294673 265 295953 263 297233 263 298513 260 299793 260 301073 260 302353 260 303633 258 304913 258 306196 252 307476 252 308756 250 310036 250 311316 247 312596 247 313876 245 315156 245 316438 240 317718 240 318998 238 320278 238 321558 238 322838 238 324121 232 325401 232 326681 230 327961 230 329243 225 330523 223 331803 223 333083 220 334363 220 335646 215 336926 215 338208 210 339488 210 340768 205 342048 205 343328 203 344608 203 345891 192 347171 192 348451 172 349731 172 351013 163 352293 163 353573 155 354853 155 356136 145 357416 145 358696 140 359976 140 361258 133 362538 133 363821 125 365101 125 366381 120 367661 120 368943 113 370223 113 371506 105 372786 105 374068 100 375351 95 376631 95 377913 88 379193 88 380476 82 381756 82 383043 70 384323 70 385611 57 386891 57 388176 45 389456 45 390741 32 392021 32 393311 10 394591 10
d6bf62f215f0da4ad3a7ab8df9da7386_1,
c695325ded465efde988dfb96d081533_0,621 10 1901 10 3176 22 4456 22 5736 25 7016 25 8298 23 9578 23 10863 18 12143 18 13426 15 14706 15 15988 13 17268 13 18548 15 19828 15 21106 20 22383 25 23663 25 24943 28 26223 28 27503 30 28783 30 30061 37 31341 37 32621 40 33901 40 35181 45 36461 45 37738 50 39018 50 40298 55 41578 55 42856 60 44136 60 45416 62 46696 62 47973 70 49253 70 50531 75 51811 75 53091 77 54371 77 55648 85 56928 85 58208 88 59488 88 60766 92 62046 92 63326 95 64606 95 65883 100 67163 103 68443 103 69723 105 71003 105 72281 112 73561 112 74838 118 76118 118 77398 120 78678 120 79956 125 81236 125 82516 127 83796 127 85073 130 86353 130 87633 133 88913 133 90193 135 91473 135 92753 138 94033 138 95316 137 96596 137 97876 140 99156 140 100436 142 101716 142 102996 145 104276 145 105556 147 106836 147 108116 150 109396 150 110676 152 111953 155 113233 155 114513 158 115793 158 117073 158 118353 158 119631 162 120911 162 122191 162 123471 162 124751 165 126031 165 127311 165 128591 165 129871 168 131151 168 132431 168 133711 168 134988 173 136268 173 137546 175 138826 175 140056 15 140098 186 141336 15 141378 186 142613 233 143893 233 145173 233 146453 233 147733 233 149013 233 150293 236 151573 236 152853 236 154133 238 155413 238 156693 238 157973 238 159256 235 160536 235 161816 235 163096 235 164378 233 165658 233 166941 228 168221 228 169501 225 170781 225 172063 218 173343 218 174623 216 175903 216 177186 207 178466 207 179746 202 181026 202 182306 200 183586 200 184866 197 186146 197 187428 195 188708 195 189988 193 191268 193 192548 193 193828 193 195111 187 196391 187 197671 187 198951 185 200231 185 201513 183 202793 183 204073 180 205353 180 206633 180 207913 180 209196 175 210476 175 211756 175 213036 175 214318 170 215598 170 216878 170 218158 170 219441 167 220721 167 222001 167 223281 167 224561 167 225841 167 227123 165 228403 165 229683 165 230963 165 232246 160 233526 160 234806 160 236086 160 237366 160 238646 160 239928 158 241208 158 242488 158 243771 152 245051 152 246333 150 247613 150 248893 150 250173 150 251453 150 252733 150 254016 147 255296 147 256576 147 257856 147 259136 147 260416 147 261698 143 262978 143 264258 143 265538 143 266821 140 268101 140 269381 140 270661 140 271941 140 273221 140 274503 135 275783 135 277063 135 278343 135 279623 135 280903 135 282186 132 283466 132 284746 130 286028 128 287308 128 288588 128 289868 128 291148 128 292428 128 293711 122 294991 122 296271 122 297551 122 298833 120 300113 120 301393 120 302673 120 303956 117 305236 117 306516 117 307796 117 309078 118 310358 118 311641 115 312921 115 314201 117 315481 117 316763 115 318043 115 319326 110 320606 110 321888 108 323168 108 324451 102 325731 102 327011 102 328291 102 329573 98 330856 92 332136 92 333418 90 334698 90 335981 85 337261 85 338543 83 339823 83 341106 80 342386 80 343668 75 344948 75 346233 70 347513 70 348798 65 350078 65 351361 62 352641 62 353926 55 355206 55 356488 53 357768 53 359053 48 360333 48 361616 45 362896 45 364181 37 365461 37 366753 23 368033 23
c695325ded465efde988dfb96d081533_1,635941 8 637216 20 638496 20 639774 37 641054 37 642334 60 643614 60 644891 65 646171 65 647451 68 648731 68 650009 72 651289 72 652569 72 653849 72 655126 78 656406 78 657686 78 658966 78 660246 80 661526 80 662804 82 664084 82 665364 85 666644 85 667924 85 669204 85 670484 85 671764 85 673044 85 674324 85 675604 87 676884 87 678164 87 679444 87 680724 87 682004 87 683284 87 684564 87 685844 87 687124 87 688404 87 689684 87 690964 87 692244 87 693524 87 694804 90 696084 90 697364 90 698644 90 699926 88 701206 88 702486 88 703766 88 705046 88 706326 88 707606 88 708886 88 710166 88 711446 88 712726 88 714006 88 715289 82 716569 82 717849 82 719129 82 720411 78 721691 78 722971 75 724251 75 725534 57 726816 53 728096 53 729379 50 730659 50 731941 45 733221 45 734504 40 735784 40 737069 32 738349 32 739631 28 740911 28 742199 17 743479 17
